"Category","people","id","opportunity.x","percentile.x","cutoff.x","accessibility.x","opportunity.y","percentile.y","cutoff.y","accessibility.y","geometry","change"
"Population",500,"199",NA,50,45,345.189732292926,NA,50,45,345.189732292926,c(-122.520798483949, 49.1191160766622),0
"Population",500,"200",NA,50,45,82463.5597166131,NA,50,45,91712.8845755188,c(-122.855382478188, 49.1852855167301),9249.32485890569
"Population",500,"201",NA,50,45,17644.7582153885,NA,50,45,18113.1301697189,c(-122.801554871172, 49.3002889477777),468.3719543304
"Population",500,"202",NA,50,45,68085.0990702739,NA,50,45,76566.5972132865,c(-122.845837142899, 49.1679292369746),8481.49814301259
"Population",500,"203",NA,50,45,7029.29969486108,NA,50,45,7029.29969486108,c(-122.586474393893, 49.2299863841438),0
"Population",500,"204",NA,50,45,432.016804847869,NA,50,45,432.016804847869,c(-122.251162506267, 49.0710003873525),0
"Population",500,"205",NA,50,45,171646.99884083,NA,50,45,180713.612100024,c(-123.140465219436, 49.2842093125076),9066.61325919401
"Population",500,"206",NA,50,45,20559.9477674247,NA,50,45,20617.0512829039,c(-122.80409801387, 49.0330858108036),57.1035154792007
"Population",500,"207",NA,50,45,36662.4560516021,NA,50,45,37360.8786777343,c(-123.043823469419, 49.3370351850062),698.422626132196
"Population",500,"208",NA,50,45,116459.873354122,NA,50,45,124264.871872902,c(-123.141205665722, 49.1801385562115),7804.99851878
"Population",500,"209",NA,50,45,55311.9680858326,NA,50,45,68041.8481343589,c(-122.791297084381, 49.2775414798007),12729.8800485263
"Population",500,"210",NA,50,45,39969.3672862268,NA,50,45,44040.6984204406,c(-122.797967605324, 49.1960007504137),4071.3311342138
"Population",500,"211",NA,50,45,29559.8015724613,NA,50,45,30691.6964528193,c(-122.644994862927, 49.1628407789659),1131.894880358
"Population",500,"212",NA,50,45,260247.715956421,NA,50,45,279896.562778162,c(-123.030091403607, 49.2370580244485),19648.846821741
"Population",500,"213",NA,50,45,183015.36093376,NA,50,45,199604.369502943,c(-123.02549957547, 49.2340474254241),16589.008569183
